# Diseases and Symptoms
Influenza,causes_symptom,Fever
Influenza,causes_symptom,Cough
Influenza,causes_symptom,Fatigue
COVID-19,causes_symptom,Fever
COVID-19,causes_symptom,Cough
COVID-19,causes_symptom,Loss_of_Smell
Pneumonia,causes_symptom,Cough
Pneumonia,causes_symptom,Difficulty_Breathing
Pneumonia,causes_symptom,Fever
Diabetes_Type_2,causes_symptom,High_Blood_Sugar
Diabetes_Type_2,causes_symptom,Thirst
Hypertension,causes_symptom,High_Blood_Pressure
Asthma,causes_symptom,Wheezing
Asthma,causes_symptom,Cough
Gastritis,causes_symptom,Stomach_Pain
GERD,causes_symptom,Heartburn
Migraine,causes_symptom,Headache
Migraine,causes_symptom,Nausea
Epilepsy,causes_symptom,Seizures
Insomnia,causes_symptom,Sleep_Difficulty
Depression,causes_symptom,Low_Mood
Hay_Fever,causes_symptom,Sneezing
Hay_Fever,causes_symptom,Runny_Nose

# Treatments
Aspirin,treats,Fever
Aspirin,treats,Headache
Aspirin,treats,Pains
Paracetamol,treats,Fever
Paracetamol,treats,Headache
Ibuprofen,treats,Headache
Ibuprofen,treats,Pains
Ibuprofen,treats,Inflammation
Metformin,treats,Diabetes_Type_2
Lisinopril,treats,Hypertension
Albuterol,treats,Asthma
Albuterol,treats,Wheezing
Loperamide,treats,Diarrhea
Sumatriptan,treats,Migraine
Loratadine,treats,Hay_Fever
Melatonin,treats,Insomnia
Sertraline,treats,Depression
Amoxicillin,treats,Pneumonia
Amoxicillin,treats,Bronchitis

# Top-Level Taxonomy
NSAIDs,is_a,Medicament
ACE_Inhibitor,is_a,Medicament
Antidiabetic,is_a,Medicament
Antibiotic,is_a,Medicament
Bronchodilator,is_a,Medicament
Antihistamine,is_a,Medicament
Anticonvulsant,is_a,Medicament
Antidepressant,is_a,Medicament
Anticoagulant,is_a,Medicament
Infectious_Disease,is_a,Maladie
Digestive_Disorder,is_a,Maladie
Metabolic_Disorder,is_a,Maladie
Cardiovascular_Disorder,is_a,Maladie
Neurological_Disorder,is_a,Maladie
Psychiatric_Disorder,is_a,Maladie
Respiratory_Condition,is_a,Maladie

# Ontology (Hierarchies)
Aspirin,is_a,NSAIDs
Ibuprofen,is_a,NSAIDs
Naproxen,is_a,NSAIDs
Lisinopril,is_a,ACE_Inhibitor
Enalapril,is_a,ACE_Inhibitor
Metformin,is_a,Antidiabetic
Sitagliptin,is_a,Antidiabetic
Amoxicillin,is_a,Antibiotic
Azithromycin,is_a,Antibiotic
Flu,is_a,Infectious_Disease
COVID-19,is_a,Infectious_Disease
Pneumonia,is_a,Infectious_Disease
Gastritis,is_a,Digestive_Disorder
GERD,is_a,Digestive_Disorder
Diabetes_Type_2,is_a,Metabolic_Disorder
Hypertension,is_a,Cardiovascular_Disorder
Asthma,is_a,Respiratory_Condition
Epilepsy,is_a,Neurological_Disorder
Depression,is_a,Psychiatric_Disorder

# Symptoms Taxonomy
Fever,is_a,Symptom
Cough,is_a,Symptom
Fatigue,is_a,Symptom
Loss_of_Smell,is_a,Symptom
Difficulty_Breathing,is_a,Symptom
High_Blood_Sugar,is_a,Symptom
Thirst,is_a,Symptom
High_Blood_Pressure,is_a,Symptom
Wheezing,is_a,Symptom
Stomach_Pain,is_a,Symptom
Heartburn,is_a,Symptom
Headache,is_a,Symptom
Nausea,is_a,Symptom
Seizures,is_a,Symptom
Sleep_Difficulty,is_a,Symptom
Low_Mood,is_a,Symptom
Sneezing,is_a,Symptom
Runny_Nose,is_a,Symptom
Inflammation,is_a,Symptom
Diarrhea,is_a,Symptom

# Contraindications (Crucial for Reasoning)
Aspirin,contraindicated_with,Gastritis
Aspirin,contraindicated_with,Peptic_Ulcer
Ibuprofen,contraindicated_with,Gastritis
Lisinopril,contraindicated_with,Pregnancy
Metformin,contraindicated_with,Kidney_Failure
Sumatriptan,contraindicated_with,Hypertension

# Drug Interactions
Aspirin,interacts_with,Warfarin
Ibuprofen,interacts_with,Lisinopril
Sertraline,interacts_with,MAOIs

# Components and Chemistry
Salicylic_Acid,part_of,Aspirin
Ibuprofen_Molecule,part_of,Ibuprofen
Penicillin_Core,part_of,Amoxicillin

# Genes and Precision Medicine
CYP2D6,inhibits_gene,Sertraline
CYP2C19,inhibits_gene,Omeprazole
ADRB2,linked_to_gene,Asthma
HLA-B-5701,contraindicated_with,Abacavir

# Extra facts for 100+
Naproxen,treats,Inflammation
Dexamethasone,treats,COVID-19
Remdesivir,treats,COVID-19
Fexofenadine,treats,Runny_Nose
Cetirizine,treats,Sneezing
Omeprazole,treats,Heartburn
Ranitidine,treats,GERD
Valproate,treats,Epilepsy
Diazepam,treats,Seizures
Fluoxetine,treats,Depression
Warfarin,treats,Blood_Clots
Heparin,treats,Blood_Clots
Insulin,treats,Diabetes_Type_1
Insulin,treats,Diabetes_Type_2
Salmeterol,treats,Asthma
Prednisolone,treats,Asthma
Atorvastatin,treats,High_Cholesterol
Simvastatin,treats,High_Cholesterol
Metoprolol,treats,Hypertension
Amlodipine,treats,Hypertension
Codeine,treats,Cough
Dextromethorphan,treats,Cough
Prednisone,treats,Allergy
Epinephrine,treats,Anaphylaxis
Morphine,treats,Severe_Pain
Oxycodone,treats,Severe_Pain
Tramadol,treats,Pains
Hydrochlorothiazide,treats,Hypertension
Furosemide,treats,Edema
Spironolactone,treats,Hypertension
Gabapentin,treats,Neuropathic_Pain
Pregabalin,treats,Neuropathic_Pain
Amitriptyline,treats,Migraine
Topiramate,treats,Migraine
Clopidogrel,treats,Blood_Clots
Rivaroaxaban,treats,Blood_Clots
Apixaban,treats,Blood_Clots
Digoxin,treats,Heart_Failure
Sacubitril,treats,Heart_Failure
Valsartan,treats,Hypertension
Lansoprazole,treats,Gastritis
Famotidine,treats,GERD
Psyllium,treats,Constipation
Bisacodyl,treats,Constipation
Metoclopramide,treats,Nausea
Ondansetron,treats,Nausea
Promethazine,treats,Allergy
Diphenhydramine,treats,Insomnia
Zolpidem,treats,Insomnia
Temazepam,treats,Insomnia
Alprazolam,treats,Anxiety
Lorazepam,treats,Anxiety
Buspirone,treats,Anxiety
Lithium,treats,Bipolar_Disorder
Quetiapine,treats,Bipolar_Disorder
Risperidone,treats,Schizophrenia
Olanzapine,treats,Schizophrenia
Clozaril,treats,Schizophrenia
Haloperidol,treats,Psychosis
Aripiprazole,treats,Psychosis
Levothyroxine,treats,Hypothyroidism
Methimazole,treats,Hyperthyroidism
Propylthiouracil,treats,Hyperthyroidism
Hydrocortisone,treats,Inflammation
Betamethasone,treats,Inflammation
Triamcinolone,treats,Inflammation
Canagliflozin,treats,Diabetes_Type_2
Dapagliflozin,treats,Diabetes_Type_2
Pioglitazone,treats,Diabetes_Type_2
Glimepiride,treats,Diabetes_Type_2
Glyburide,treats,Diabetes_Type_2
Gliclazide,treats,Diabetes_Type_2
Repaglinide,treats,Diabetes_Type_2
Vildagliptin,treats,Diabetes_Type_2
Linagliptin,treats,Diabetes_Type_2
Saxagliptin,treats,Diabetes_Type_2
Teneligliptin,treats,Diabetes_Type_2
Anogliptin,treats,Diabetes_Type_2
Gemigliptin,treats,Diabetes_Type_2
Evogliptin,treats,Diabetes_Type_2
Liraglutide,treats,Diabetes_Type_2
Semaglutide,treats,Diabetes_Type_2
Exenatide,treats,Diabetes_Type_2
Dulaglutide,treats,Diabetes_Type_2
Albiglutide,treats,Diabetes_Type_2
Lixisenatide,treats,Diabetes_Type_2
Tirzepatide,treats,Diabetes_Type_2
